"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TAF1L",10.5772213452142,3.61349388538028,0.618055775920299,5.84654981987623,5.0187330789722e-09,7.28481508119161e-08
"HOXC13",2.32910610904994,4.54469025598219,1.23502829665703,3.67982682525068,0.000233392394867116,0.00131984785692162
"HOXC12",2.93990495363582,4.48174988897854,1.26612472170943,3.53973807803673,0.000400524325061569,0.00212938244599213
"HOXC6",11.8089129798955,3.45083807178072,0.609065479041466,5.66579159470927,1.46347313915971e-08,1.97862715112249e-07
"ZNF350",11.4899496354837,5.79994085391242,0.927823115464208,6.25112778205638,4.07499291255288e-10,6.97040919019578e-09
"BTN1A1",5.4568998239294,4.38877792656264,0.952208643337608,4.60905071306582,4.04511665078392e-06,3.48556743117486e-05
"OR2B6",4.1511223172972,3.91120520013721,1.02199704150838,3.8270220375243,0.000129702906730446,0.000781160089226472
"DEK",52.8334660140356,-3.42147040135863,1.04416351206349,-3.2767572911996,0.00105006591510052,0.00488709032098704
"SOX9",1.66459989648991,4.01783690167781,1.27413184098041,3.15339180173552,0.00161385042099045,0.00708349482077971
"ZBTB46",136.144455129105,-3.84628472082048,1.26544086507782,-3.03948199158555,0.00236985370319405,0.0099015534110005
"CTAG2",27.6551308729748,4.08206290255611,0.923118011353773,4.4220379760218,9.77742658003804e-06,7.75675842016351e-05
"MAGEC2",1.74136781916042,4.13253527935601,1.28050907265446,3.22725966383775,0.00124981985084966,0.00568264598851407
"KLF2",43.8404892748861,5.59019743649537,0.828828796469546,6.74469499649047,1.53348814278129e-11,3.14535963193951e-10
